job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills
Senior Data Engineer,Senior Data Engineer,"Alpharetta, GA",via LinkedIn,Contractor,0,"Florida, United States",2/2/2023,0,0,United States,hour,,69,Insight Global,"['sql', 'python', 'java', 'azure', 'databricks', 'aws', 'redshift', 'hadoop', 'spark', 'pyspark']"
Data Analyst,Data Analyst,"New York, NY",via Indeed,Full-time,0,"New York, United States",2/6/2023,0,0,United States,year,84000,,New York University,"['r', 'tableau', 'spss', 'sheets', 'excel']"
Senior Data Engineer,Azure Solution Architect/Sr Data Engineer,"Allendale, NJ",via Dice,Full-time,0,"New York, United States",2/16/2023,1,0,United States,year,160000,,IDC Technologies,"['sql', 'azure', 'oracle', 'excel']"
Data Scientist,Data Scientist 4,"Pittsburgh, PA",via Genesis10 - Talentify,Contractor,0,"Illinois, United States",2/17/2023,0,1,United States,hour,,71.73000336,Genesis10,"['python', 'r', 'java', 'nosql', 'mongo', 'neo4j', 'cassandra', 'databricks', 'azure', 'aws', 'hadoop', 'pyspark', 'spark', 'kafka', 'airflow', 'tableau', 'yarn', 'git', 'bitbucket', 'jenkins']"
Data Engineer,Data Engineer (Cloud) (W2 Only),"Columbus, OH",via LinkedIn,Contractor,0,Georgia,2/7/2023,0,0,United States,hour,,58.5,BayOne Solutions,"['sql', 'sql server', 'aws']"
Data Engineer,Data Engineer 2,"Bengaluru, Karnataka, India",via Ai-Jobs.net,Full-time,0,India,2/11/2023,0,0,India,year,147500,,Publicis Groupe,"['sql', 'shell', 'python', 'nosql', 'aws', 'redshift', 'hadoop', 'spark', 'pyspark', 'airflow', 'docker']"
Data Scientist,Data Scientist,United States,via Indeed,Full-time,0,Sudan,2/3/2023,0,0,Sudan,year,155000,,LPL Financial,"['erlang', 'sql', 'r', 'python', 'tableau', 'alteryx']"
Data Scientist,Earth Observation Data Scientist - Contract to Hire,Anywhere,via Upwork,Full-time,1,"Texas, United States",2/8/2023,0,0,United States,hour,,30.5,Upwork,['aws']
Data Engineer,Data Engineer (Hybrid location),"Portland, OR",via Ladders,Full-time,0,"Texas, United States",2/17/2023,0,0,United States,year,90000,,Columbia Sportswear,"['sql', 'azure', 'databricks', 'pyspark']"
Machine Learning Engineer,(Senior) Machine Learning Inference Engineer,"Munich, Germany",via Ai-Jobs.net,Full-time,0,Germany,2/11/2023,0,0,Germany,year,89100,,Brainlab,['python']
Data Scientist,Data Scientist,"Seville, Spain",via Ai-Jobs.net,Full-time,0,Spain,2/27/2023,0,0,Spain,year,88128,,AxesinMotion,
Business Analyst,Business System Analyst,"Charlotte, NC",via Indeed,Full-time,0,Georgia,2/14/2023,0,0,United States,year,105000,,Arthur Grand Technologies Inc,['sql']
Senior Data Scientist,Senior Data Scientist Digital Effectiveness Operations ...,"Derby, KS",via ZipRecruiter,Full-time,0,"Illinois, United States",2/11/2023,0,1,United States,year,116700,,Cox Communications,"['sql', 'python', 'aws', 'pandas', 'numpy', 'scikit-learn', 'pyspark', 'tableau', 'git']"
Data Engineer,"Lead Data Engineer, Remote (Buffalo, NY)","Buffalo, NY",via Built In,Full-time,0,"New York, United States",2/21/2023,0,1,United States,year,107850,,Delaware North,"['python', 'mongodb', 'mongodb', 'javascript', 'nosql', 'postgresql', 'mysql', 'redshift', 'airflow', 'django']"
Data Engineer,Data Engineer Manager,"Charlotte, NC",via LinkedIn,Full-time,0,Sudan,2/7/2023,0,1,Sudan,year,150000,,Agility Partners,"['python', 'sql', 'snowflake', 'aws']"
Data Analyst,Data Analyst/insurance claim related information,"Tampa, FL",via Indeed,Full-time,0,"Florida, United States",2/13/2023,1,0,United States,hour,,36,BCF,"['vba', 'excel']"
Senior Data Analyst,Senior Master Data Analyst,"San Francisco, CA",via Ladders,Full-time,0,"California, United States",2/28/2023,0,1,United States,year,125000,,Cruise Automation,"['oracle', 'excel', 'sap', 'flow']"
Data Engineer,Data Engineer - SQL Server,"Santa Fe, NM",via Indeed,Contractor,0,"Florida, United States",2/3/2023,1,0,United States,hour,,61,"Software Technology, Inc.","['sql', 'sql server']"
Data Engineer,AWS Data Engineer - Hybrid - Salary $115k-$170k,"Simi Valley, CA",via LinkedIn,Full-time,0,"Illinois, United States",2/26/2023,0,0,United States,year,122500,,LHH,"['cassandra', 'aws', 'redshift', 'snowflake', 'spark', 'kafka', 'tableau']"
Data Engineer,Data Engineer (DE 0223),"Athens, Greece",via Ai-Jobs.net,Full-time,0,Greece,2/14/2023,1,0,Greece,year,147500,,Skroutz S.A,"['ruby', 'ruby', 'sql', 'mongodb', 'mongodb', 'python', 'shell', 'mysql', 'postgresql', 'redshift', 'aws', 'kafka', 'spark', 'gdpr', 'linux', 'tableau']"
Data Engineer,Cloud Data Engineer,"Plano, TX",via Ladders,Full-time,0,"Florida, United States",2/6/2023,0,1,United States,year,90000,,JP Morgan Chase & Co.,
Software Engineer,"Data Software Engineer, Finance Engineering","Bengaluru, Karnataka, India",via Ai-Jobs.net,Full-time,0,India,2/23/2023,0,0,India,year,79200,,Stripe,"['scala', 'java', 'javascript', 'ruby', 'ruby', 'spark', 'kafka']"
Senior Data Engineer,Senior Manager - Data Engineer,"Maspeth, NY",via WJTV Jobs,Full-time,0,"California, United States",2/4/2023,0,1,United States,year,246500,,Capital One,"['java', 'scala', 'python', 'nosql', 'sql', 'mongo', 'shell', 'mysql', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'hadoop', 'kafka', 'spark']"
Data Engineer,IT Data Engineer,Luxembourg,via Ai-Jobs.net,Full-time,0,Luxembourg,2/22/2023,0,0,Luxembourg,year,98283,,Talan,"['sql', 't-sql', 'c#', 'sql server', 'oracle', 'ssis']"
Data Scientist,"(USA) Senior Director II, Data Science","Bentonville, AR",via Ladders,Full-time,0,"Illinois, United States",2/22/2023,0,0,United States,year,225000,,Walmart,"['sql', 'java', 'c++', 'python', 'nosql', 'r', 'scala', 'matplotlib', 'spark', 'tensorflow', 'excel', 'tableau']"
Senior Data Engineer,Senior Data Engineer,"East Windsor, NJ",via Dice,Full-time,0,"Illinois, United States",2/27/2023,1,0,United States,year,130000,,Atyeti,"['sql', 'java', 'azure', 'spark']"
Data Scientist,Data Scientist,United States,via My ArkLaMiss Jobs,Full-time,0,Sudan,2/9/2023,0,1,Sudan,year,175000,,Harnham,"['python', 'sql', 'go', 'git']"
Data Scientist,Data Scientist,"Indianapolis, IN",via Ladders,Full-time,0,"Illinois, United States",2/16/2023,0,1,United States,year,90000,,Corteva Agriscience,"['r', 'python']"
Senior Data Scientist,"Senior Data Scientist, Genomics",,via LinkedIn,Full-time,0,"New York, United States",2/8/2023,0,1,United States,year,150000,,RBW Consulting,"['r', 'python']"
Machine Learning Engineer,Data Science - Machine Learning Engineer,"Helsinki, Finland",via Ai-Jobs.net,Full-time,0,Finland,2/15/2023,0,0,Finland,year,166000,,Wolt,"['python', 'docker', 'kubernetes']"
Data Engineer,Data Engineer,"El Segundo, CA",via LinkedIn,Full-time,0,Sudan,2/24/2023,0,0,Sudan,year,112500,,Atlas Search,"['java', 'python', 'scala', 'sql', 'sql server', 'ssis', 'ssrs']"
Data Engineer,Sr Data Engineer (Remote Eligible),"Cambridge, MA",via WJHL Jobs,Full-time,0,"California, United States",2/17/2023,0,1,United States,year,170672,,Capital One,"['java', 'scala', 'python', 'nosql', 'sql', 'mongo', 'shell', 'mysql', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'kafka', 'hadoop', 'spark', 'tableau']"
Data Engineer,Data Engineer,"Addison, TX",via Dice,Full-time,0,Georgia,2/10/2023,0,0,United States,year,147500,,Jobot,"['scala', 'java', 'sql', 'aws', 'kafka', 'splunk']"
Senior Data Scientist,Senior Data Scientist,"Austin, TX",via LinkedIn,Full-time,0,Sudan,2/24/2023,0,1,Sudan,year,155000,,Engtal,"['python', 'sql', 'tableau']"
Data Engineer,Lead Data Engineer,"Boston, MA",via LinkedIn,Full-time,0,Georgia,2/6/2023,0,0,United States,year,170000,,Selby Jennings,"['python', 'java', 'c#', 'aws']"
Data Scientist,Junior Data Scientist,Anywhere,via LinkedIn,Full-time,1,Sudan,2/2/2023,0,0,Sudan,year,100000,,Morgan Hunter,"['sas', 'sas', 'r', 'python', 'sql', 'spss', 'tableau', 'excel']"
Data Scientist,Data Scientist,"Chicago, IL",via Ladders,Full-time,0,"Illinois, United States",2/7/2023,0,1,United States,year,90000,,Clarkston Consulting,['sql']
Senior Data Engineer,Senior Data Engineer- Remote,"Buffalo, NY",via My Stateline Jobs,Full-time,0,"Texas, United States",2/19/2023,0,1,United States,year,107850,,Delaware North,"['python', 'mongodb', 'mongodb', 'javascript', 'nosql', 'postgresql', 'mysql', 'redshift', 'airflow', 'django']"
Business Analyst,Business Analytics Analyst,"Land O' Lakes, FL",via KSNT Jobs,Full-time,0,"Florida, United States",2/9/2023,0,0,United States,year,79930,,Citi,['excel']
Data Engineer,Lead Data Engineer,"Dover, DE",via My ArkLaMiss Jobs,Full-time,0,"California, United States",2/11/2023,0,1,United States,year,208114,,Capital One,"['java', 'scala', 'python', 'nosql', 'sql', 'mongo', 'shell', 'mysql', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'hadoop', 'kafka', 'spark']"
Senior Data Engineer,Data Engineer Senior,"Conyers, GA",via Ladders,Full-time,0,"New York, United States",2/14/2023,0,0,United States,year,90000,,"Acuity Brands, Inc","['sql', 't-sql', 'c#', 'python', 'scala', 'db2', 'azure', 'oracle', 'power bi', 'tableau', 'qlik', 'sap', 'cognos', 'ssis', 'git']"
Data Engineer,Data Engineer,"San Jose, CA",via Ladders,Full-time,0,"California, United States",2/24/2023,0,1,United States,year,90000,,Balbix,"['python', 'java', 'scala', 'sql', 'nosql', 'mongodb', 'mongodb', 'cassandra', 'redis', 'elasticsearch']"
Data Scientist,Data Science Internship,"Omaha, NE",via ZipRecruiter,Internship,0,"Illinois, United States",2/3/2023,0,0,United States,hour,,18,CATCH Intelligence,['r']
Machine Learning Engineer,Machine Learning Engineer II,"San Francisco, CA",via Ai-Jobs.net,Full-time,0,"California, United States",2/10/2023,0,0,United States,year,137388.5,,BigCommerce,"['sql', 'python', 'r', 'azure']"
